Reference, Quantity, Value, Footprint, Digi-Key_PN, MPN,,Price,Total Price,Part Page
C12 C13 C14 C15 C16 C18 ,6,100n,Capacitor_THT:CP_Radial_D4.0mm_P1.50mm,493-12784-1-ND,UVR1H0R1MDD6TP,,$0.30,$1.80,https://www.digikey.com/en/products/detail/nichicon/UVR1H0R1MDD6TP/4328371?s=N4IgTCBcDaICwE4DMBaAjGA7ADjulAcgCIgC6AvkA
C17 ,1,0.22u,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,493-11478-1-ND,URS1HR22MDD1TD,,$0.37,$0.37,https://www.digikey.com/en/products/detail/nichicon/URS1HR22MDD1TD/4320225?s=N4IgTCBcDaIKoCUDKBGAEgsYCyARXKAKriALoC%2BQA
C20 ,1,22u,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,1572-1384-ND,226CKR050M,,$0.19,$0.19,https://www.digikey.com/en/products/detail/illinois-capacitor/226CKR050M/5411619?s=N4IgTCBcDa5gbAYQNICUAMBWdBZEBdAXyA
C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C19 ,12,0.1u,Capacitor_THT:CP_Radial_D4.0mm_P1.50mm,493-12784-1-ND,UVR1H0R1MDD6TP,,$0.30,$3.60,https://www.digikey.com/en/products/detail/nichicon/UVR1H0R1MDD6TP/4328371?s=N4IgTCBcDaICwE4DMBaAjGA7ADjulAcgCIgC6AvkA
D1 D2 ,2,D,Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_KathodeUp,1N4148-P-GICT-ND,1N4148-P-TR,,$0.17,$0.34,https://www.digikey.com/en/products/detail/vishay-general-semiconductor-diodes-division/1N4148-P-TR/4826413
D3 D4 D5 ,3,LED,LED_SMD:LED_1206_3216Metric,2460-L152L-LWCTR-ND,L152L-LWC,,$0.37,$1.11,https://www.digikey.com/en/products/detail/american-opto-plus-led/L152L-LWC/12325421?s=N4IgTCBcDa4CwDYAMBaAMgRgKxjeg6gMIAqASigHIAiIAugL5A
J1 J2 ,2,5-1814400-1,digikey-footprints:RF_SMA_RightAngle_5-1814400-1,2057-RF1-07-T-00-75-ND,RF1-07-T-00-75,,$2.49,$4.98,https://www.digikey.com/en/products/detail/adam-tech/RF1-07-T-00-75/9832650
J3 ,1,Jack-DC,Connector_BarrelJack:BarrelJack_Horizontal,2073-DCJ200-10-A-K1-K-ND,DCJ200-10-A-K1-K,,$0.74,$0.74,https://www.digikey.com/en/products/detail/gct/DCJ200-10-A-K1-K/9859579
J4 ,1,Screw_Terminal_01x02,TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm,1801135-ND,1801135,,$1.09,$1.09,https://www.digikey.com/en/products/detail/phoenix-contact/1801135/4387899?s=N4IgTCBcDaIIwA4AMc4GYCsBaAcgERAF0BfIA
J5 ,1,Micro_SD_Card,digikey-footprints:MicroSD_2908-05WB-MG,3M5607CT-ND,2908-05WB-MG,,$3.48,$3.48,https://www.digikey.com/en/products/detail/3m/2908-05WB-MG/1242497?s=N4IgTCBcDa4JwAYAcBaBBWA6gIRQWQHEQBdAXyA
